Year,Month,CharCode,InRuR
2003,12,XDR,42.8112
2003,12,SGD,17.2378
2003,12,TRL,2.02235e-05
2003,12,UAH,5.51687
2003,12,SEK,3.93296
2003,12,CHF,22.9341
2003,12,JPY,0.272033
2004,1,AUD,22.1233
2004,1,GBP,52.4732
2004,1,BYR,0.0135751
2004,1,DKK,4.98064
2004,1,USD,29.4545
2004,1,EUR,37.0979
2004,1,ISK,0.412297
2004,1,KZT,0.20567
2004,1,CAD,22.7536
2004,1,NOK,4.405
2004,1,XDR,43.6109
2004,1,SGD,17.315
2004,1,TRL,2.09641e-05
2004,1,UAH,5.474
2004,1,SEK,4.08268
2004,1,CHF,23.7805
2004,1,JPY,0.275456
2004,2,AUD,21.7321
2004,2,GBP,51.7303
2004,2,BYR,0.0131915
2004,2,DKK,4.74768
2004,2,USD,28.4937
2004,2,EUR,35.3635
2004,2,ISK,0.410276
2004,2,KZT,0.204323
2004,2,CAD,21.3917
2004,2,NOK,4.02152
2004,2,XDR,42.3804
2004,2,SGD,16.761
2004,2,TRL,2.10286e-05
2004,2,UAH,5.27896
2004,2,SEK,3.84816
2004,2,CHF,22.6356
2004,2,JPY,0.269062
2004,3,AUD,21.9884
2004,3,GBP,53.0789
2004,3,BYR,0.0132329
2004,3,DKK,4.76276
2004,3,USD,28.5156
2004,3,EUR,35.5076
2004,3,ISK,0.408709
2004,3,KZT,0.205098
2004,3,CAD,21.2107
2004,3,NOK,4.04982
2004,3,XDR,42.2136
2004,3,SGD,16.7601
2004,3,TRL,2.14564e-05
2004,3,UAH,5.2939
2004,3,SEK,3.84862
2004,3,CHF,22.5188
2004,3,JPY,0.261323
2004,4,AUD,21.6515
2004,4,GBP,52.3252
2004,4,BYR,0.013261
2004,4,DKK,4.6879
2004,4,USD,28.5151
2004,4,EUR,34.9082
2004,4,ISK,0.394127
2004,4,KZT,0.205346
2004,4,CAD,21.8758
2004,4,NOK,4.15037
2004,4,XDR,42.064
2004,4,SGD,16.9895
2004,4,TRL,2.16023e-05
2004,4,UAH,5.2941
2004,4,SEK,3.76472
2004,4,CHF,22.3859
2004,4,JPY,0.273815
2004,5,AUD,20.9129
2004,5,GBP,51.3801
2004,5,BYR,0.0134213
2004,5,DKK,4.65225
2004,5,USD,28.9612
2004,5,EUR,34.6289
2004,5,ISK,0.392322
2004,5,KZT,0.209668
2004,5,CAD,21.0888
2004,5,NOK,4.22958
2004,5,XDR,41.7881
2004,5,SGD,16.99
2004,5,TRL,2.01259e-05
2004,5,UAH,5.40129
2004,5,SEK,3.78949
2004,5,CHF,22.4089
2004,5,JPY,0.262687
2004,6,AUD,20.7229
2004,6,GBP,53.2543
2004,6,BYR,0.013446
2004,6,DKK,4.75765
2004,6,USD,28.9993
2004,6,EUR,35.3907
2004,6,ISK,0.405528
2004,6,KZT,0.21172
2004,6,CAD,21.2917
2004,6,NOK,4.30736
2004,6,XDR,42.5948
2004,6,SGD,17.0845
2004,6,TRL,1.92622e-05
2004,6,UAH,5.43363
2004,6,SEK,3.88491
2004,6,CHF,23.1439
2004,6,JPY,0.264834
2004,7,AUD,20.0164
2004,7,GBP,52.3835
2004,7,BYR,0.0134428
2004,7,DKK,4.71919
2004,7,USD,29.0471
2004,7,EUR,35.0889
2004,7,ISK,0.398342
2004,7,KZT,0.213679
2004,7,CAD,21.5435
2004,7,NOK,4.1915
2004,7,XDR,42.6287
2004,7,SGD,16.8987
2004,7,TRL,1.94555e-05
2004,7,UAH,5.443
2004,7,SEK,3.8449
2004,7,CHF,22.9549
2004,7,JPY,0.267198
2004,8,AUD,20.3568
2004,8,GBP,52.8345
2004,8,BYR,0.0134552
2004,8,DKK,4.71248
2004,8,USD,29.1019
2004,8,EUR,35.0532
2004,8,ISK,0.405375
2004,8,KZT,0.213478
2004,8,CAD,21.9256
2004,8,NOK,4.14758
2004,8,XDR,42.3479
2004,8,SGD,16.8814
2004,8,TRL,1.96767e-05
2004,8,UAH,5.455
2004,8,SEK,3.79663
2004,8,CHF,22.7341
2004,8,JPY,0.260233
2004,9,AUD,20.5282
2004,9,GBP,52.6283
2004,9,BYR,0.0135205
2004,9,DKK,4.74716
2004,9,USD,29.2591
2004,9,EUR,35.3713
2004,9,ISK,0.405138
2004,9,KZT,0.214521
2004,9,CAD,22.2266
2004,9,NOK,4.21589
2004,9,XDR,42.658
2004,9,SGD,17.0806
2004,9,TRL,1.92368e-05
2004,9,UAH,5.47267
2004,9,SEK,3.87435
2004,9,CHF,22.9429
2004,9,JPY,0.266963
2004,10,AUD,20.8882
2004,10,GBP,52.5886
2004,10,BYR,0.0134572
2004,10,DKK,4.84055
2004,10,USD,29.2224
2004,10,EUR,36.0312
2004,10,ISK,0.410312
2004,10,KZT,0.217488
2004,10,CAD,23.0116
2004,10,NOK,4.30368
2004,10,XDR,42.9128
2004,10,SGD,17.277
2004,10,TRL,1.94169e-05
2004,10,UAH,5.43157
2004,10,SEK,3.97416
2004,10,CHF,23.1997
2004,10,JPY,0.263835
2004,11,AUD,21.4734
2004,11,GBP,52.6466
2004,11,BYR,0.0132084
2004,11,DKK,4.92847
2004,11,USD,28.7655
2004,11,EUR,36.6472
2004,11,ISK,0.416168
2004,11,KZT,0.217885
2004,11,CAD,23.5012
2004,11,NOK,4.48837
2004,11,XDR,42.9682
2004,11,SGD,17.2922
2004,11,TRL,1.94822e-05
2004,11,UAH,5.34595
2004,11,SEK,4.0472
2004,11,CHF,23.9513
2004,11,JPY,0.270964
2004,12,AUD,21.8413
2004,12,GBP,53.2506
2004,12,BYR,0.0128957
2004,12,DKK,5.02366
2004,12,USD,28.1496
2004,12,EUR,37.3264
2004,12,ISK,0.430817
2004,12,KZT,0.216452
2004,12,CAD,23.6631
2004,12,NOK,4.60051
2004,12,XDR,43.1156
2004,12,SGD,17.1581
2004,12,TRL,1.96164e-05
2004,12,UAH,5.25728
2004,12,SEK,4.18613
2004,12,CHF,24.6084
2004,12,JPY,0.273244
2005,1,AUD,21.6468
2005,1,GBP,53.4967
2005,1,BYR,0.0127492
2005,1,DKK,5.08497
2005,1,USD,27.7487
2005,1,EUR,37.8409
2005,1,ISK,0.452744
2005,1,KZT,0.213438
